"Output of Amphiprion clarkii genotypes from Philippines 2008. First genotyping attempt: 2009-01-07. GeneMapper project AFG5,6,7,8"								
npops = 20								
nloci = 4								
	AC1359		APR_Cf29		APY_65		NNG_012	
APCL469	?	?	?	?	245	256	?	?
APCL470	240	242	212	214	250	256	111	111
APCL471	240	240	214	216	248	254	?	?
APCL472	240	242	210	229	?	?	111	115
APCL473	240	242	210	212	250	256	113	117
APCL474	242	246	209	210	?	?	111	111
APCL475	240	242	209	210	250	256	111	115
APCL476	240	240	210	214	?	?	?	?
APCL477	242	242	212	214	?	?	111	115
APCL478	240	246	204	214	248	256	115	115
APCL479	240	246	210	218	?	?	111	111
APCL480	246	246	209	210	?	?	111	115
APCL481	242	246	210	210	250	250	111	115
APCL482	246	246	210	210	250	254	111	115
APCL483	240	244	209	216	?	?	111	115
APCL484	240	246	212	216	250	250	115	115
APCL485	240	240	210	229	254	256	111	115
APCL486	246	246	210	210	?	?	?	?
APCL487	240	244	?	?	?	?	111	113
pop = 15_Tabogon								
APCL488	240	246	?	?	?	?	111	111
APCL489	240	246	210	210	256	256	111	115
APCL490	240	242	210	216	256	256	115	117
APCL491	240	242	210	216	?	?	115	115
APCL492	242	246	210	218	?	?	111	111
APCL493	240	242	209	212	?	?	115	115
APCL494	240	244	209	220	250	256	111	111
APCL495	240	240	207	212	250	256	111	113
APCL496	240	242	209	210	?	?	115	115
APCL497	240	242	218	220	?	?	111	111
APCL498	240	240	210	212	?	?	111	115
APCL499	240	242	210	229	?	?	111	115
APCL500	242	242	210	212	250	254	111	115
APCL501	242	244	210	229	?	?	115	115
APCL502	240	240	209	218	?	?	111	111
APCL503	240	242	210	210	?	?	?	?
APCL504	240	242	216	229	250	256	115	115
APCL506	240	246	?	?	?	?	111	111
APCL507	240	242	210	210	256	256	111	111
APCL508	240	240	209	220	256	256	111	111
APCL509	?	?	?	?	?	?	?	?
pop = 16_Daanbantayan								
APCL532	240	242	210	210	?	?	111	115
APCL533	240	246	210	218	?	?	?	?
APCL534	240	242	210	212	?	?	?	?
APCL535	240	246	204	207	256	256	115	117
APCL536	240	242	210	216	?	?	111	111
APCL537	242	242	210	214	?	?	?	?
APCL538	242	242	209	216	256	256	?	?
APCL539	240	246	216	218	?	?	?	?
APCL540	240	242	?	?	?	?	111	111
APCL541	240	240	209	210	?	?	111	115
APCL542	240	240	209	209	256	256	?	?
APCL543	240	242	210	229	250	256	111	115
APCL544	240	240	209	218	256	256	115	115
APCL545	?	?	?	?	?	?	?	?
APCL546	240	240	218	229	?	?	111	115
APCL547	240	246	210	210	?	?	111	117
APCL549	240	246	210	216	?	?	111	111
APCL550	?	?	?	?	250	254	?	?
APCL551	242	246	207	212	?	?	115	115
APCL552	240	240	210	210	?	?	111	111
pop = 17_Malapascua								
APCL511	240	242	210	229	?	?	111	113
APCL512	240	242	212	229	?	?	111	115
APCL513	242	244	210	229	248	254	111	115
APCL514	240	240	212	218	?	?	111	111
APCL515	240	242	207	222	250	256	111	113
APCL516	242	242	218	229	?	?	111	113
APCL517	240	244	207	229	256	256	111	115
APCL518	240	240	229	229	254	260	111	115
APCL519	240	242	209	214	?	?	111	115
APCL520	240	240	216	218	256	256	111	115
APCL521	242	242	?	?	?	?	115	115
APCL522	240	242	209	210	?	?	111	111
APCL523	?	?	?	?	?	?	?	?
APCL524	240	246	212	229	?	?	111	111
APCL525	240	242	209	212	250	256	115	115
APCL526	240	240	204	229	256	256	111	115
APCL527	240	242	201	229	254	256	111	115
APCL528	240	242	210	210	?	?	111	111
APCL529	240	242	210	229	250	256	?	?
APCL530	240	240	?	?	250	256	111	115
APCL531	240	240	210	210	256	258	115	117
pop = 18_Pintuyan								
APCL306	240	240	210	212	?	?	111	115
APCL307	240	242	218	229	?	?	115	115
APCL308	240	246	?	?	?	?	?	?
APCL309	240	242	212	218	250	250	111	115
APCL310	240	242	?	?	256	256	111	115
APCL311	240	242	212	218	250	256	111	115
APCL312	246	246	210	218	250	250	111	115
APCL313	240	240	212	229	?	?	111	115
APCL314	242	242	210	210	?	?	?	?
APCL315	240	242	209	212	?	?	?	?
APCL316	?	?	?	?	?	?	?	?
APCL317	240	240	212	216	?	?	111	115
APCL318	240	242	210	210	254	256	?	?
APCL319	?	?	218	229	254	256	?	?
APCL320	?	?	?	?	256	256	?	?
APCL321	?	?	?	?	?	?	?	?
APCL322	242	250	210	216	?	?	?	?
pop = 19_PadreBurgos								
APCL286	242	244	199	218	250	250	?	?
APCL287	242	242	?	?	250	254	111	115
APCL288	?	?	210	212	?	?	115	115
APCL289	240	242	207	212	?	?	111	115
APCL290	?	?	?	?	250	256	?	?
APCL291	240	242	209	210	?	?	111	115
APCL292	240	240	?	?	256	260	111	115
APCL293	240	242	210	214	250	258	111	111
APCL294	240	240	212	229	250	250	111	111
APCL295	240	242	?	?	?	?	?	?
APCL296	240	240	210	216	?	?	111	111
APCL297	240	240	212	229	?	?	115	115
APCL298	240	240	210	229	250	256	111	115
APCL299	242	242	210	210	?	?	111	111
APCL300	240	242	209	210	?	?	115	115
APCL301	242	246	212	229	254	256	?	?
APCL302	240	240	210	229	254	256	?	?
APCL303	240	242	210	218	?	?	111	111
APCL304	242	250	220	229	?	?	111	111
APCL305	242	246	207	207	?	?	?	?
pop = 20_Maasin								
APCL264	240	240	210	210	?	?	?	?
APCL265	240	240	?	?	?	?	111	111
APCL266	240	244	210	212	?	?	111	115
APCL267	240	242	210	210	?	?	111	115
APCL268	242	242	209	212	248	250	111	111
APCL269	240	240	210	212	?	?	115	115
APCL270	240	240	210	229	?	?	?	?
APCL271	240	244	204	210	250	256	111	111
APCL272	240	242	212	216	256	258	111	111
APCL273	240	242	210	216	256	256	115	115
APCL274	242	246	210	222	256	256	111	113
APCL275	240	240	?	?	248	256	111	111
APCL279	?	?	?	?	?	?	?	?
APCL280	242	242	209	212	?	?	?	?
APCL281	242	246	209	212	250	254	?	?
APCL282	?	?	?	?	?	?	?	?
APCL283	242	246	212	229	?	?	115	115
APCL284	240	242	210	212	?	?	111	111
APCL285	242	244	199	218	?	?	111	115
pop = 22_InopacanIsland								
APCL343	240	242	209	210	250	256	?	?
APCL344	240	240	210	218	?	?	?	?
APCL345	242	244	210	216	?	?	111	115
APCL346	240	242	?	?	250	256	111	111
APCL347	240	246	216	229	256	256	111	115
APCL348	242	246	209	229	?	?	115	115
APCL349	240	240	209	212	?	?	?	?
APCL350	?	?	?	?	?	?	?	?
APCL351	242	246	210	210	?	?	111	115
APCL352	242	242	210	210	?	?	111	115
APCL353	240	240	210	212	?	?	111	111
APCL354	240	240	210	210	256	256	111	111
APCL355	240	242	209	210	256	256	?	?
APCL356	240	242	212	212	256	256	115	117
APCL357	240	244	?	?	?	?	111	111
APCL358	246	246	210	212	250	256	111	115
APCL359	242	246	210	212	?	?	111	111
APCL360	242	244	210	229	?	?	?	?
APCL361	240	250	209	218	?	?	?	?
APCL362	240	240	210	212	?	?	?	?
pop = 22_InopacanMainland								
APCL365	240	246	229	229	?	?	111	115
APCL366	242	242	210	229	?	?	115	115
APCL367	244	246	209	210	250	256	111	115
APCL368	240	246	210	218	?	?	111	115
APCL369	240	240	212	212	?	?	111	115
APCL370	240	240	210	214	250	256	111	115
APCL371	240	240	?	?	?	?	111	115
APCL372	240	242	?	?	250	256	?	?
APCL373	240	240	?	?	?	?	111	115
APCL374	240	242	207	212	250	250	111	111
APCL375	240	240	218	224	248	256	?	?
APCL376	242	246	216	229	254	254	?	?
APCL377	240	240	210	210	?	?	?	?
APCL378	240	242	210	229	?	?	?	?
pop = 23_Baybay								
APCL399	240	240	209	229	?	?	?	?
APCL400	240	246	210	229	?	?	?	?
APCL401	240	242	210	210	?	?	?	?
APCL402	240	240	209	229	?	?	?	?
APCL403	240	246	210	214	256	258	?	?
APCL404	240	242	212	229	?	?	111	111
APCL405	240	240	216	229	254	256	115	115
APCL406	240	240	207	210	250	262	111	115
APCL407	240	242	212	229	?	?	111	111
APCL408	240	242	?	?	254	256	111	115
APCL409	240	242	209	229	?	?	?	?
APCL410	240	240	?	?	?	?	111	115
APCL411	240	240	?	?	?	?	111	115
APCL412	242	242	210	210	?	?	111	115
APCL413	240	240	210	212	?	?	?	?
APCL414	240	242	210	218	250	250	115	115
APCL416	240	240	?	?	?	?	115	115
APCL417	240	240	210	212	250	258	111	115
APCL418	?	?	?	?	?	?	?	?
pop = 24_Albuera								
APCL379	240	240	210	229	250	256	?	?
APCL380	?	?	?	?	?	?	?	?
APCL381	240	242	?	?	?	?	111	115
APCL382	240	240	210	214	?	?	?	?
APCL383	240	246	216	218	?	?	111	115
APCL384	240	240	210	229	?	?	111	111
APCL385	240	240	210	218	254	256	111	111
APCL386	?	?	?	?	250	256	?	?
APCL387	240	240	?	?	250	256	115	115
APCL388	240	242	210	210	256	258	115	115
APCL389	240	246	209	210	?	?	115	115
APCL390	240	242	210	212	256	256	?	?
APCL391	240	240	?	?	?	?	111	111
APCL392	240	242	210	229	?	?	?	?
APCL393	240	240	212	229	248	256	111	115
APCL394	240	246	210	210	250	256	?	?
APCL395	240	246	207	210	248	250	111	115
APCL396	240	242	210	212	?	?	111	115
APCL397	240	242	209	210	?	?	111	115
APCL398	240	240	216	218	250	254	111	111
pop = 25_Ormoc								
APCL445	240	240	209	210	?	?	111	111
APCL446	240	246	210	212	?	?	?	?
APCL447	240	240	210	210	?	?	111	115
APCL448	240	242	210	216	?	?	111	111
APCL449	240	240	210	229	?	?	?	?
APCL450	240	242	212	216	254	256	115	115
APCL451	240	242	?	?	?	?	?	?
APCL452	240	242	210	218	250	260	111	115
APCL453	240	244	209	216	250	256	115	115
APCL454	242	242	210	212	248	260	111	115
APCL455	240	242	210	212	?	?	115	115
APCL456	242	244	212	220	254	256	?	?
APCL457	240	242	210	210	?	?	115	115
APCL458	240	240	?	?	250	250	111	111
APCL459	240	242	229	229	?	?	111	117
APCL460	240	240	218	229	?	?	?	?
APCL461	240	242	209	218	?	?	111	115
APCL462	242	244	209	210	?	?	?	?
APCL463	240	240	210	210	?	?	?	?
APCL464	240	240	212	218	?	?	111	111
pop = 27_Palompon								
APCL419	240	246	207	216	?	?	111	111
APCL420	240	242	210	218	254	254	115	115
APCL421	240	242	218	229	?	?	111	113
APCL422	240	240	210	210	250	256	?	?
APCL423	240	240	201	218	248	250	111	115
APCL424	240	242	209	210	250	254	?	?
APCL425	240	240	210	212	256	256	111	115
APCL426	240	246	209	212	?	?	115	115
APCL427	?	?	?	?	250	262	?	?
APCL428	?	?	?	?	?	?	?	?
APCL429	240	240	210	218	?	?	115	115
APCL430	240	240	210	216	256	256	111	117
APCL431	?	?	?	?	?	?	?	?
APCL432	240	246	207	218	?	?	111	111
APCL433	240	240	210	210	?	?	115	115
APCL434	240	242	216	216	?	?	111	115
APCL435	240	240	222	229	?	?	?	?
APCL436	238	240	209	210	?	?	115	115
APCL437	240	242	210	218	?	?	111	111
APCL438	240	240	210	212	256	256	111	115
